CityName,StateID,Beliefs,normalized_beliefs
Brooklyn Park,MN,373.4,0.193241215
Burnsville,MN,168,0.086943021
Coon Rapids,MN,NA,0
Duluth,MN,339.9,0.175904363
Eagan,MN,58.8,0.030430057
Eden Prairie,MN,81,0.041918957
Edina,MN,90.8,0.046990633
Lakeville,MN,70.4,0.036433266
Maple Grove,MN,82.1,0.042488226
Minneapolis,MN,949.3,0.491279822
Minnetonka,MN,56.6,0.029291518
Plymouth,MN,47.4,0.024530352
Rochester,MN,219.8,0.113750453
St. Cloud,MN,438.2,0.22677638
St. Paul,MN,575.3,0.297728096
Woodbury,MN,64.4,0.033328158
Blue Springs,MO,180.5,0.093411996
Columbia,MO,330.8,0.171194949
Florissant,MO,NA,0
Independence,MO,588.5,0.304559333
Joplin,MO,609.3,0.315323707
Kansas City,MO,1459.5,0.755317497
Lee's Summit,MO,118.2,0.061170626
O'Fallon,MO,130.7,0.0676396
St. Charles,MO,NA,0
St. Joseph,MO,567.8,0.293846711
St. Louis,MO,1879.5,0.97267505
St. Peters,MO,242.7,0.125601615
Springfield,MO,1539.1,0.796511929
Gulfport,MS,329.3,0.170418672
Jackson,MS,NA,0
Southaven,MS,169.9,0.087926305
Billings,MT,NA,0
Great Falls,MT,513.3,0.265641981
Missoula,MT,420.6,0.217668064
Asheville,NC,759.1,0.392847901
Burlington,NC,866.9,0.44863634
Cary,NC,68.6,0.035501734
Chapel Hill,NC,95.1,0.04921596
Charlotte,NC,814.3,0.421414894
Concord,NC,127.2,0.065828288
Durham,NC,758.6,0.392589142
Fayetteville,NC,872,0.451275682
Gastonia,NC,NA,0
Greensboro,NC,837.6,0.433473063
Greenville,NC,475.4,0.246028049
High Point,NC,741.2,0.38358433
Huntersville,NC,141.1,0.073021788
Jacksonville,NC,NA,0
Raleigh,NC,263.1,0.136158982
Rocky Mount,NC,777.3,0.402266729
Wilmington,NC,631.5,0.326812607
Winston-Salem,NC,NA,0
Bismarck,ND,313.3,0.162138384
Fargo,ND,470.9,0.243699219
Grand Forks,ND,293.8,0.152046784
Bellevue,NE,206.3,0.10676396
Grand Island,NE,461.4,0.238782798
Lincoln,NE,392.8,0.203281064
Omaha,NE,605.8,0.313512395
Manchester,NH,604.8,0.312994877
